,Gene,Old Human,Old Organoid,Young Human,Young Organoid
26216,TCP1,873.0,1009.0,642.0,1322.0
26217,TCP10,0.0,2.0,0.0,0.0
26218,TCP10L,39.0,34.96000000000001,24.0,25.0
26219,TCP10L2,2.036,4.109,0.0,2.062
26220,TCP11,8.0,0.0,0.0,0.0
26221,TCP11L1,56.206,129.586,106.34800000000001,172.438
26222,TCP11L2,19.0,39.0,91.001,57.0
26223,TCP11X1,0.0,1.0,0.0,0.0
26224,TCP11X2,0.0,0.0,0.0,0.0
26225,TCTA,375.0,150.0,100.0,78.0
26226,TCTE1,5.0,2.0,4.0,2.0
26227,TCTE3,3.0,2.0,4.0,1.0
26228,TCTEX1D1,19.0,2.0,8.0,4.0
26229,TCTEX1D2,22.0,25.0,12.137,16.177999999999997
26230,TCTEX1D4,3.0,6.0,9.0,2.0
26231,TCTN1,91.0,64.999,19.0,48.0
26232,TCTN2,23.0,88.0,52.0,32.0
26233,TCTN3,297.0,189.0,189.0,133.0
26234,TDG,84.0,220.0,215.0,286.0
26235,TDGF1,11.41,1.0,23.0,2.0
26236,TDGF1P3,9.545,0.0,6.207,5.0
26237,TDH,0.0,3.0,3.0,1.0
26238,TDO2,8124.0,803.0,1193.0,1359.0
26239,TDP1,92.0,90.0,30.0,108.0
26240,TDP2,307.0,283.0,273.0,259.0
26241,TDRD1,2.0,7.0,6.0,6.0
26242,TDRD10,25.0,37.0,25.0,11.0
26243,TDRD12,0.0,2.0,1.0,2.0
26244,TDRD15,2.0,0.0,1.0,0.0
26245,TDRD3,113.0,47.0,41.0,54.0
26246,TDRD5,2.0,2.0,0.0,1.0
26247,TDRD6,35.0,14.0,38.0,5.0
26248,TDRD7,64.0,112.0,29.0,118.0
26249,TDRD9,2.0,87.0,8.0,126.0
26250,TDRG1,0.0,2.0,2.0,1.0
26251,TDRKH,36.0,59.0,27.0,32.001000000000005
26252,TDRP,133.0,38.998999999999995,49.0,56.0
26253,TEAD1,336.0,437.9499999999998,356.0,399.3589999999999
26254,TEAD2,66.0,114.00099999999998,44.001000000000005,66.0
26255,TEAD3,117.0,165.00099999999998,71.0,34.264999999999986
26256,TEAD4,6.0,96.50799999999998,102.97800000000001,39.507000000000005
26257,TEC,42.0,15.0,53.0,19.0
26258,TECPR1,165.0,158.0,147.0,70.0
26259,TECPR2,150.0,101.0,172.0,28.0
26260,TECR,1088.0,800.9989999999998,344.0,207.0
26261,TECRL,5.0,0.0,0.0,0.0
26262,TECTA,13.0,11.0,10.0,8.0
26263,TECTB,8.0,4.0,15.0,7.0
26264,TEDDM1,1.0,1.0,3.0,3.0
26265,TEF,714.0,109.0,66.0,33.0
26266,TEFM,32.0,79.0,30.0,62.0
26267,TEK,4.0,12.0,28.0,236.0
26268,TEKT1,0.0,2.0,2.0,2.0
26269,TEKT2,1.0,7.0,3.0,1.0
26270,TEKT3,2.0,2.0,3.0,1.0
26271,TEKT4,5.106,3.051,2.0,2.0
26272,TEKT4P2,53.581999999999994,66.588,26.235999999999997,22.667999999999996
26273,TEKT5,9.0,3.0,7.0,1.0
26274,TELO2,237.0,300.0,161.0,32.0
26275,TEN1,76.72000000000001,84.957,50.483000000000004,40.659000000000006
26276,TEN1-CDK3,103.598,78.072,116.11699999999999,21.205000000000002
26277,TENC1,1639.0,680.0,106.0,440.0
26278,TENM1,272.0,12.0,39.0,10.0
26279,TENM2,44.0,29.0,24.0,49.0
26280,TENM3,17.0,30.0,24.0,82.0
26281,TENM4,2.0,14.0,3.0,16.0
26282,TEP1,138.0,166.99900000000002,363.0,100.0
26283,TEPP,0.0,3.0,1.0,1.0
26284,TERC,2.0,3.0,4.0,3.0
26285,TERF1,159.646,109.40800000000002,132.765,53.218999999999994
26286,TERF2,214.0,127.0,58.97399999999999,69.0
26287,TERF2IP,349.0,166.0,125.0,64.0
26288,TERT,0.0,7.0,1.0,2.0
26289,TES,63.0,380.0,123.0,200.0
26290,TESC,3.0,45.0,24.0,30.0
26291,TESK1,187.0,204.0,90.0,93.0
26292,TESK2,79.0,42.0,73.0,30.0
26293,TESPA1,3.0,0.0,14.0,1.0
26294,TET1,7.0,18.0,16.0,25.0
26295,TET2,72.0,42.0,27.001000000000005,59.001000000000005
26296,TET3,185.0,193.0,94.0,83.99900000000002
26297,TEX10,39.0,149.0,34.0,107.0
26298,TEX101,0.0,2.0,1.0,0.0
26299,TEX11,2.0,2.0,2.0,1.0
26300,TEX12,1.0,2.0,3.0,2.0
26301,TEX13A,0.0,0.0,0.0,0.0
26302,TEX13B,0.0,0.0,0.0,0.0
26303,TEX14,7.0,8.0,16.0,4.0
26304,TEX15,1.0,60.0,2.0,48.0
26305,TEX19,0.0,20.0,0.0,10.0
26306,TEX2,632.0,192.0,353.0,136.0
26307,TEX21P,4.0,5.0,8.0,2.0
26308,TEX22,4.0,9.0,1.0,3.0
26309,TEX26,0.0,0.0,0.0,1.0
26310,TEX26-AS1,0.0,0.0,0.0,1.0
26311,TEX261,640.0,366.0,344.0,142.0
26312,TEX264,362.999,281.00299999999993,120.00099999999998,189.00099999999998
26313,TEX28,0.0,2.0,0.0,0.0
26314,TEX29,6.0,4.0,3.0,5.0
26315,TEX30,95.0,49.0,65.0,158.0
26316,TEX33,0.0,0.0,0.0,1.0
26317,TEX35,0.0,0.0,0.0,0.0
26318,TEX36,0.0,0.0,0.0,0.0
26319,TEX36-AS1,0.0,0.0,0.0,0.0
26320,TEX37,0.0,1.0,0.0,0.0
26321,TEX38,0.0,2.0,3.0,2.0
26322,TEX40,0.0,6.0,3.0,6.0
26323,TEX41,0.0,4.0,2.0,11.0
26324,TEX9,4.0,18.0,5.0,18.0
26325,TF,110121.0,19392.0,39355.0,16543.0
26326,TFAM,208.0,247.99300000000005,184.0,459.006
26327,TFAMP1,3.0,2.018,3.018,1.007
26328,TFAP2A,3.0,14.0,5.0,8.0
26329,TFAP2A-AS1,0.0,2.0,1.0,3.0
26330,TFAP2B,1.0,0.0,0.0,0.0
26331,TFAP2C,4.0,7.0,5.0,8.0
26332,TFAP2D,1.0,0.0,0.0,0.0
26333,TFAP2E,1.0,16.0,1.0,20.0
26334,TFAP4,79.0,77.0,172.0,47.0
26335,TFB1M,128.0,82.0,60.712999999999994,102.999
26336,TFB2M,196.0,72.0,71.0,204.0
26337,TFCP2,151.0,86.0,49.0,109.0
26338,TFCP2L1,2.0,174.0,7.0,104.00800000000004
26339,TFDP1,323.0,419.0,217.00099999999998,303.0
26340,TFDP2,228.00099999999998,242.99900000000002,62.0,229.99900000000002
26341,TFDP3,2.0,0.0,3.0,0.0
26342,TFE3,368.0,477.0,404.0,115.00199999999995
26343,TFEB,59.0,44.0,61.0,35.0
26344,TFEC,17.0,3.0,24.0,0.0
26345,TFF1,0.0,7.0,0.0,3.0
26346,TFF2,8.0,7.0,0.0,11.0
26347,TFF3,1.0,43.0,3.0,8.0
26348,TFG,833.0,585.9989999999998,332.0,448.0020000000002
26349,TFIP11,258.0,288.0,133.0,92.0
26350,TFPI,794.9989999999998,947.0010000000002,2275.001,1059.9989999999998
26351,TFPI2,10.0,58.0,19.0,190.0
26352,TFPT,66.0,73.0,42.0,38.0
